"Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Play.Type","Yards","Outcome","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Turnover.","Drive.Number","Team.Play.Number","Play.Description"
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins Univ.","2","10","24","rush","-5","Fumble",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,19,"fromberg,alex rush for loss of 5 yards to the jhu29, fumble by fromberg,alex recovered by cwr wade,dominic at jhu26."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins Univ.","3","12","74","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,20,"saxton,drew pass incomplete to m. wojkowski."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins Univ.","4","12","74","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,21,"saxton,drew pass incomplete to m. wojkowski (pj penders)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","1","10","74","pass","11","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,22,"ryan stevens pass complete to quinn revere for 11 yards to the jhu37, out-of-bounds (toth,marco)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","1","10","63","pass","Penalty","Penalty",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,23,"ryan stevens pass complete to c. pantelis for 9 yards to the jhu46, out-of-bounds (sais,dominic), penalty jhu personal foul (quinn revere) 15 yards to the jhu22, no play."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","1","25","78","pass","4","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,24,"ryan stevens pass complete to c. pantelis for 4 yards to the jhu26 (toth,marco)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","2","21","74","pass","13","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,25,"ryan stevens pass complete to emmett turner for 13 yards to the jhu39 (sais,dominic)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","3","8","61","rush","10","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,26,"ryan stevens rush for 10 yards to the jhu49."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","1","10","51","pass","7","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,27,"ryan stevens pass complete to lance large for 7 yards to the cwr44, out-of-bounds."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","2","3","44","rush","4","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,28,"danny wolf rush for 4 yards to the cwr40 (dudowski,aj; troch,gabe)."
